route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
6-0239,1,239,Le Rheu (Lycée Monod) <> Mordelles (Mordelles Pâtis),Complémentaire,3,,F39200,FFFFFF,4239
6-0240,1,240,Saint-Gilles (Ile des Bois) <> L'Hermitage <> Le Rheu (Lycée Monod),Complémentaire,3,,005BAB,FFFFFF,4240
6-0241,1,241,Mordelles (Collège St-Yves) <> Chavagne (Croix Blanche),Complémentaire,3,,71BF44,1A171B,4241
6-0242,1,242,Miniac-sous-Bécherel (Miniac Eglise) <> Bécherel <> La Chapelle-Chaussée <> Romillé (Romillé Collège),Complémentaire,3,,F7941D,1A171B,4242
6-0243,1,243,Saint-Grégoire (Jean-Paul II) <> Montgermont <> Pacé (Pie Neuve),Complémentaire,3,,F7941D,1A171B,4243
6-0245,1,245,Rennes (Foyer Rennais) <> Bruz (Bruz Centre),Complémentaire,3,,005BAB,FFFFFF,4245
6-0401,1,Ts1,Noyal-Châtillon-sur-Seiche (Launay Hyon) <> Chartres-de-Bretagne <> Bruz (Aire du 8 Mai),Transport scolaire,3,,702283,FFFFFF,4401
6-0403,1,Ts3,Saint-Erblon (Douazel) <> Noyal-Châtillon-sur-Seiche <> Bruz (Aire du 8 Mai),Transport scolaire,3,,5DC4E1,FFFFFF,4403
6-0404,1,Ts4,Bourgbarré (La Fretais) <> Orgères <> Bruz (Anita Conti),Transport scolaire,3,,76B729,FFFFFF,4404
6-0405,1,Ts5,Bruz (Aire du 8 Mai) <> Saint-Erblon <> Orgères <> Bourgbarré (Houssais),Transport scolaire,3,,BA67A6,FFFFFF,4405
6-0406,1,Ts6,Bruz (Aire du 8 Mai) <> Saint-Erblon <> Orgères <> Laillé (Bossardière),Transport scolaire,3,,F39200,FFFFFF,4406
6-0407,1,Ts7,Bourgbarré (Jardin du Soleil) <> Bruz (Anita Conti),Transport scolaire,3,,4465AD,FFFFFF,4407
6-0408,1,Ts8,Bruz (Brossolette) <> Mordelles (Mordelles Pâtis),Transport scolaire,3,,E30613,FFFFFF,4408
6-0409,1,Ts9,Bruz (Aire du 8 Mai) <> Laillé (Couais),Transport scolaire,3,,13A0DB,FFFFFF,4409
